name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
Mayor’s Alliance for NYC’s Animals - Picasso Veterinary Fund,32,,Services,Animals,Animals," Picasso Veterinary Fund that pays for extraordinary, life‐saving medical care for sick or injured animals transferred from AC&C to other Alliance Participating Organizations for adoption",,Animal adoption,Visit website -  www.AnimalAllianceNYC.org,Mayor’s Alliance for NYC’s Animals,New York City,Potential pet owners,,,"244 Fifth Avenue, Suite R290, New York, NY 10001-7604",,www.PicassoVeterinaryFund.org,PVFAdoption@AnimalAllianceNYC.org,(212) 252-2350,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"for general questions: Phone: (212) 252-2350
E-mail: info@AnimalAllianceNYC.org
Web: www.AnimalAllianceNYC.org  "
Mayor’s Alliance for NYC’s Animals - Adoption events,33,,Services,Animals,Animals,Pet adoption events are held by participating organizations across the city,,Animal adoption,View calendar - http://www.animalalliancenyc.org/events/adoption.htm,Mayor’s Alliance for NYC’s Animals,New York City,Potential pet owners,,,"244 Fifth Avenue, Suite R290, New York, NY 10001-7604",,http://www.animalalliancenyc.org/events/adoption.htm,,(212) 252-2350,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"for general questions: Phone: (212) 252-2350
E-mail: info@AnimalAllianceNYC.org
Web: www.AnimalAllianceNYC.org  "
Mayor’s Alliance for NYC’s Animals - Spay/Neuter referrals,34,,Services,"Animals, Referral Services",Animals,Free & Low-Cost Spay/Neuter Programs & Clinics,,Animal population control,Visit website - www.animalalliancenyc.org/yourpet/snprograms.htm,Mayor’s Alliance for NYC’s Animals,New York City,Pet owners,,,"244 Fifth Ave, Suite R290, New York, NY 10001",,www.animalalliancenyc.org/yourpet/snprograms.htm,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"for general questions: Phone: (212) 252-2350
E-mail: info@AnimalAllianceNYC.org
Web: www.AnimalAllianceNYC.org  "
"
Day Care Council of New York, Inc. ",35,,Services,"Referral Services, Benefits Assistance, Child Care",Child Care,"help families choose appropriate, quality care such as Head Start, 
center-based care, home-based care, family child care providers or 
before-and after-school programs",,Child care,Visit website-  www.dccnyinc.org/ or call  (212) 206-7818,"Day Care Council of New York, Inc. ",New York City,"Families, Parents, Grandparents, Caregivers",,,"2082 Lexington Avenue, Suite 204, New York, NY 10035",,http://www.dccnyinc.org/,info@dccnyinc.org,(212) 206-7818 ,,"Ms. Andrea Anthony, Executive Director ",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Center for Children’s Initiatives - CCR&R subcontractor,36,,Services,"Referral Services, Benefits Assistance, Child Care",Child Care,"help families choose appropriate, quality care such as Head Start, 
center-based care, home-based care, family child care providers or 
before-and after-school programs",,Child care,"Contact Ms. Nancy Kolben, Executive Director (212) 929-7604 x 3010, x 3016; Email: nkolben@centerforchildrensinitiatives.org",Center for Children’s Initiatives ,New York City,"Families, Parents, Grandparents, Caregivers",,,"322 Eighth Avenue, 4th Floor, New York, NY 10001",,http://www.centerforchildrensinitiatives.org/,nkolben@centerforchildrensinitiatives.org,(212) 929-7604 ext3010; (212) 929-7604 ext3016,,"Ms. Nancy Kolben, Executive Director",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Child Development Support Corporation - CCR&R subcontractor,37,,Services,"Referral Services, Benefits Assistance, Child Care",Child Care,"help families choose appropriate, quality care such as Head Start, 
center-based care, home-based care, family child care providers or 
before-and after-school programs",,Child care,"Contact Ms. Marcia Rowe Riddick, Executive Director (718) 398-6370; Email: mriddick@cdscnyc.org",Child Development Support Corporation ,New York City,"Families, Parents, Grandparents, Caregivers",,,"352-358 Classon Avenue, Brooklyn, NY 11238 ",,http://www.cdscnyc.org/, mriddick@cdscnyc.org,(718) 398-6370,,"Ms. Marcia Rowe Riddick, Executive Director",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"Chinese American Planning Council, Inc.- CCR&R subcontractor",38,,Services,"Referral Services, Benefits Assistance, Child Care",Child Care,"help families choose appropriate, quality care such as Head Start, 
center-based care, home-based care, family child care providers or 
before-and after-school programs",,Child care,"Contact David Chen, Executive Director (212) 941-0030 x 207; Email: dschen@cpc-nyc.org","Chinese American Planning Council, Inc.",New York City,"Families, Parents, Grandparents, Caregivers",,,"150 Elizabeth Street, New York, NY, 10012",Chinese,http://www.cpc-nyc.org/,dschen@cpc-nyc.org,(212) 941-0030 ext207,,"David Chen, Executive Director",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"Committee for Hispanic Children & Families, Inc.  - CCR&R subcontractor",39,,Services,"Referral Services, Benefits Assistance, Child Care",Child Care,"help families choose appropriate, quality care such as Head Start, 
center-based care, home-based care, family child care providers or 
before-and after-school programs",,Child care,"Contact Ms. Elba Montalvo, Executive Director (212) 206-1090; Email: emontalvo@chcfinc.org","Committee for Hispanic Children & Families, Inc.",New York City,"Families, Parents, Grandparents, Caregivers",,,"110 William Street, Suite 1802,  New York, New York 10038",Spanish,http://www.chcfinc.org/,emontalvo@chcfinc.org,(212) 206-1090,,"Ms. Elba Montalvo, Executive Director",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Safe Horizon - Domestic Violence Hotline,40,,Services,"Domestic Violence, Mental Health & Crisis Counseling, Referral Services",Domestic Violence and Child Abuse,"Hotline crisis intervention specialists provide callers with support and
 access to emergency lock replacement, shelter and referrals to a 
comprehensive array of services that can further assist them. ",,"Counseling, Support services","Domestic Violence Hotline: 800.621.HOPE (4673)

",Safe Horizon,United States: New York City,"Domestic violence survivors, Caregivers",,,"2 Lafayette St., 3rd Fl, New York, NY",,www.safehorizon.org,info@safehorizon.net,(800) 621-4673,24 hours a day,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Safe Horizon - Domestic Violence Shelters,41,,Services,"Domestic Violence, Temporary Housing",Domestic Violence and Child Abuse,"Safe Horizon is the nation's largest provider of residences for survivors of domestic violence, offering adults and families safe havens after 
they have escaped violence. Safe Horizon operates nine shelters with more than 700 beds available in New York City, giving families both 
emergency shelter and long-term residences that provide more time for them to recover and rebuild their lives. "," In the longer term domestic violence survivors may be eligible to 
request housing from the New York City Housing Authority (NYCHA), which 
provides priority housing to survivors of Domestic Violence (DV) in both
 the public housing and Section 8 programs. NYCHA tenants who move in 
with a DV priority will be offered After-Care supportive services.",Temporary Housing,call hotline: 800.621.4673 (HOPE),Safe Horizon,United States; New York City,"Domestic violence survivors, Caregivers",,,,,http://www.safehorizon.org/index/what-we-do-2/domestic-violence--abuse-53/domestic-violence--abuse-shelters-340.html,info@safehorizon.net,(800) 621-4673,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Safe Horizon - Legal Services,42,,Services,"Domestic Violence, Legal, Referral Services",Domestic Violence and Child Abuse,"Safe Horizon's legal services can provide information, advice, referrals, and conflict resolution help.  Domestic Violence Law Project (DVLP) and Immigration Law Project (ILP) services provide free legal information and advice to domestic violence survivors with family and immigration law-related matters. ",,Legal Representation,"Domestic Violence Law Project - 718.834.7430 x10, Immigration Law Project - 718.943.8632 ",Safe Horizon,United States; New York City,"Domestic violence survivors, Caregivers",,,"2 Lafayette Street, 3rd Floor, New York, NY",Spanish,http://www.safehorizon.org/index/get-help-8/for-legal-services-15.html,atpinfo@safehorizon.org,(718) 834-7430 ext0; (718) 943-8632 ,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Domestic Violence Law Project - 718.834.7430 x10, Immigration Law Project - 718.943.8632 "
Safe Horizon - Crime Victims Hotline,43,,Services,"Mental Health & Crisis Counseling, Referral Services",Domestic Violence and Child Abuse,Hotline providing crisis counselling to crime survivors,,"Counseling, Support services",Crime survivors Hotline 212-577-7777,Safe Horizon,United States; New York City,"Crime survivors, Caregivers",,,,,,,(212) 577-7777,24 hours a day,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Safe Horizon - Rape & Sexual Assault Hotline ,44,,Services,"Mental Health & Crisis Counseling, Referral Services",Domestic Violence and Child Abuse,Hotline providing crisis counselling to rape and sexual assault survivors,,"Counseling, Support services",Rape & Sexual Assault Hotline 212-227-3000,Safe Horizon,United States; New York City," Sexual assault survivors, Caregivers",,,,,,,(212) 227-3000,24 hours a day,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,Rape & Sexual Assault Hotline 212-227-3000
Adventist Community Services Disaster Response,45,,Material Donations,"Household Goods, Building Materials, Food",Faith Communities,"Providing disaster relief supplies suchs as blankets, shelf stable meals, and rebuilding materials: roofing shingles, insulation, and a limited amount of sheetrock.",,"Immediate assistance, rebuilding assistance",contact gnycacsdrwarehouse@gmail.com,Adventist Community Services,New York City; New Jersey,"Homeowners, Renters, Disaster survivors",,,"3308 Edson Ave, Bronx, NY 10469 ",,http://www.communityservices.org/article/42/resources/acs-ministries/disaster-response,gnycacsdrwarehouse@gmail.com,(718) 565-0850; (609) 256-2005,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,NY:718-565-0850   NJ: 609-256-2005
